These	DT	these
are	VBP	be
the	DT	the
earliest	JJS	early
Buddhist	NN	Buddhist
monuments	NNS	monument
in	IN	in
Japan	NP	Japan
,	,	,
dating	VVG	date
from	IN	from
shortly	RB	shortly
after	IN	after
the	DT	the
introduction	NN	introduction
of	IN	of
Buddhism	NN	Buddhism
to	TO	to
the	DT	the
country	NN	country
,	,	,
and	CC	and
had	VHD	have
a	DT	a
profound	JJ	profound
influence	NN	influence
on	IN	on
subsequent	JJ	subsequent
religious	JJ	religious
architecture	NN	architecture
.	SENT	.
Kyoto	NP	Kyoto
was	VBD	be
the	DT	the
main	JJ	main
centre	NN	centre
for	IN	for
the	DT	the
evolution	NN	evolution
of	IN	of
religious	JJ	religious
and	CC	and
secular	JJ	secular
architecture	NN	architecture
and	CC	and
of	IN	of
garden	NN	garden
design	NN	design
between	IN	between
the	DT	the
8th	JJ	8th
and	CC	and
17th	JJ	17th
centuries	NNS	century
,	,	,
and	CC	and
as	RB	as
such	JJ	such
it	PP	it
played	VVD	play
a	DT	a
decisive	JJ	decisive
role	NN	role
in	IN	in
the	DT	the
creation	NN	creation
of	IN	of
Japanese	JJ	Japanese
cultural	JJ	cultural
traditions	NNS	tradition
which	WDT	which
,	,	,
in	IN	in
the	DT	the
case	NN	case
of	IN	of
gardens	NNS	garden
in	IN	in
particular	JJ	particular
,	,	,
had	VHD	have
a	DT	a
profound	JJ	profound
effect	NN	effect
on	IN	on
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
world	NN	world
from	IN	from
the	DT	the
19th	JJ	19th
century	NN	century
onwards	RB	onwards
.	SENT	.
The	DT	the
shrine	NN	shrine
buildings	NNS	building
of	IN	of
Itsukushima-jinja	NP	Itsukushima-jinja
are	VBP	be
in	IN	in
the	DT	the
general	JJ	general
tradition	NN	tradition
of	IN	of
Shinto	NP	Shinto
shrine	NN	shrine
architecture	NN	architecture
in	IN	in
Japan	NP	Japan
and	CC	and
provide	VV	provide
invaluable	JJ	invaluable
information	NN	information
for	IN	for
the	DT	the
understanding	NN	understanding
of	IN	of
the	DT	the
evolving	VVG	evolve
spiritual	JJ	spiritual
culture	NN	culture
of	IN	of
the	DT	the
Japanese	JJ	Japanese
people	NNS	people
,	,	,
namely	RB	namely
the	DT	the
Japanese	JJ	Japanese
concept	NN	concept
of	IN	of
scenic	JJ	scenic
beauty	NN	beauty
.	SENT	.
The	DT	the
most	RBS	most
important	JJ	important
aspect	NN	aspect
of	IN	of
Itsukushima-jinja	NP	Itsukushima-jinja
is	VBZ	be
the	DT	the
setting	NN	setting
of	IN	of
the	DT	the
shrine	NN	shrine
buildings	NNS	building
as	IN	as
the	DT	the
central	JJ	central
part	NN	part
of	IN	of
a	DT	a
trinity	NN	trinity
with	IN	with
the	DT	the
sea	NN	sea
in	IN	in
the	DT	the
foreground	NN	foreground
and	CC	and
mountains	NNS	mountain
in	IN	in
the	DT	the
background	NN	background
,	,	,
recognized	VVN	recognize
as	IN	as
a	DT	a
standard	NN	standard
of	IN	of
beauty	NN	beauty
against	IN	against
which	WDT	which
other	JJ	other
examples	NNS	example
of	IN	of
scenic	JJ	scenic
beauty	NN	beauty
have	VHP	have
come	VVN	come
to	TO	to
be	VB	be
understood	VVN	understand
.	SENT	.
The	DT	the
historic	JJ	historic
monuments	NNS	monument
of	IN	of
Ancient	NP	Ancient
Nara	NP	Nara
bear	VVP	bear
exceptional	JJ	exceptional
witness	NN	witness
to	TO	to
the	DT	the
evolution	NN	evolution
of	IN	of
Japanese	JJ	Japanese
architecture	NN	architecture
and	CC	and
art	NN	art
as	IN	as
a	DT	a
result	NN	result
of	IN	of
cultural	JJ	cultural
links	NNS	link
with	IN	with
China	NP	China
and	CC	and
Korea	NP	Korea
which	WDT	which
were	VBD	be
to	TO	to
have	VH	have
a	DT	a
profound	JJ	profound
influence	NN	influence
on	IN	on
future	JJ	future
developments	NNS	development
.	SENT	.
For	IN	for
several	JJ	several
centuries	NNS	century
the	DT	the
Ryukyu	NP	Ryukyu
islands	NNS	island
served	VVD	serve
as	IN	as
a	DT	a
centre	NN	centre
of	IN	of
economic	JJ	economic
and	CC	and
cultural	JJ	cultural
interchange	VVP	interchange
between	IN	between
south-east	JJ	south-east
Asia	NP	Asia
,	,	,
China	NP	China
,	,	,
Korea	NP	Korea
,	,	,
and	CC	and
Japan	NP	Japan
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
vividly	RB	vividly
demonstrated	VVN	demonstrate
by	IN	by
the	DT	the
surviving	VVG	survive
monuments	NNS	monument
.	SENT	.
The	DT	the
monuments	NNS	monument
and	CC	and
sites	NNS	site
that	WDT	that
form	VVP	form
the	DT	the
cultural	JJ	cultural
landscape	NN	landscape
of	IN	of
the	DT	the
Kii	NP	Kii
Mountains	NP	Mountains
are	VBP	be
a	DT	a
unique	JJ	unique
fusion	NN	fusion
between	IN	between
Shintoism	NN	Shintoism
and	CC	and
Buddhism	NN	Buddhism
that	WDT	that
illustrates	VVZ	illustrate
the	DT	the
interchange	VVP	interchange
and	CC	and
development	NN	development
of	IN	of
religious	JJ	religious
cultures	NNS	culture
in	IN	in
East	NP	East
Asia	NP	Asia
.	SENT	.
During	IN	during
the	DT	the
Age	NP	Age
of	IN	of
Discovery	NP	Discovery
,	,	,
in	IN	in
the	DT	the
16th	JJ	16th
and	CC	and
early	JJ	early
17th	JJ	17th
centuries	NNS	century
,	,	,
the	DT	the
large	JJ	large
production	NN	production
of	IN	of
silver	NN	silver
by	IN	by
the	DT	the
Iwami	NP	Iwami
Ginzan	NP	Ginzan
Silver	NP	Silver
Mine	NP	Mine
resulted	VVD	result
in	IN	in
significant	JJ	significant
commercial	JJ	commercial
and	CC	and
cultural	JJ	cultural
exchanges	NNS	exchange
between	IN	between
Japan	NP	Japan
and	CC	and
the	DT	the
trading	NN	trading
countries	NNS	country
of	IN	of
East	NP	East
Asia	NP	Asia
and	CC	and
Europe	NP	Europe
.	SENT	.
The	DT	the
temples	NNS	temple
and	CC	and
Pure	NP	Pure
Land	NP	Land
gardens	NNS	garden
of	IN	of
Hiraizumi	NP	Hiraizumi
demonstrate	VVP	demonstrate
in	IN	in
a	DT	a
remarkable	JJ	remarkable
way	NN	way
how	WRB	how
the	DT	the
concepts	NNS	concept
of	IN	of
garden	NN	garden
construction	NN	construction
introduced	VVN	introduce
from	IN	from
Asia	NP	Asia
along	IN	along
with	IN	with
Buddhism	NN	Buddhism
evolved	VVN	evolve
on	IN	on
the	DT	the
basis	NN	basis
of	IN	of
Japan	NP	Japan
's	POS	's
ancient	JJ	ancient
nature	NN	nature
worship	NN	worship
,	,	,
Shintoism	NP	Shintoism
,	,	,
and	CC	and
eventually	RB	eventually
developed	VVN	develop
into	IN	into
a	DT	a
concept	NN	concept
of	IN	of
planning	NN	planning
and	CC	and
garden	NN	garden
design	NN	design
that	WDT	that
was	VBD	be
unique	JJ	unique
to	TO	to
Japan	NP	Japan
.	SENT	.
The	DT	the
gardens	NNS	garden
and	CC	and
temples	NNS	temple
of	IN	of
Hiraizumi	NP	Hiraizumi
influenced	VVD	influence
those	DT	those
in	IN	in
other	JJ	other
cities	NNS	city
,	,	,
notably	RB	notably
Kamakura	NP	Kamakura
where	WRB	where
one	CD	one
of	IN	of
the	DT	the
temples	NNS	temple
was	VBD	be
based	VVN	base
on	IN	on
Chuson-ji	NP	Chuson-ji
.	SENT	.
The	DT	the
Tomioka	NP	Tomioka
mill	NN	mill
illustrates	VVZ	illustrate
the	DT	the
early	JJ	early
and	CC	and
entirely	RB	entirely
successful	JJ	successful
transfer	NN	transfer
of	IN	of
French	JJ	French
industrial	JJ	industrial
sericultural	JJ	sericultural
techniques	NNS	technique
to	TO	to
Japan	NP	Japan
.	SENT	.
This	DT	this
technological	JJ	technological
transfer	NN	transfer
took	VVD	take
place	NN	place
in	IN	in
the	DT	the
context	NN	context
of	IN	of
a	DT	a
long	JJ	long
regional	JJ	regional
tradition	NN	tradition
of	IN	of
silkworm	NN	silkworm
farming	NN	farming
,	,	,
which	WDT	which
it	PP	it
profoundly	RB	profoundly
renewed	VVD	renew
.	SENT	.
In	IN	in
turn	NN	turn
,	,	,
