It	PP	it
represents	VVZ	represent
the	DT	the
culmination	NN	culmination
of	IN	of
Japanese	JJ	Japanese
castle	NN	castle
architecture	NN	architecture
in	IN	in
wood	NN	wood
,	,	,
and	CC	and
preserves	VVZ	preserve
all	PDT	all
its	PP$	its
significant	JJ	significant
features	NNS	feature
intact	JJ	intact
.	SENT	.
The	DT	the
Horyu-ji	NP	Horyu-ji
monuments	NNS	monument
represent	VVP	represent
the	DT	the
adaptation	NN	adaptation
of	IN	of
Chinese	JJ	Chinese
Buddhist	NN	Buddhist
architecture	NN	architecture
and	CC	and
temple	NN	temple
layout	NN	layout
to	TO	to
Japanese	JJ	Japanese
culture	NN	culture
and	CC	and
the	DT	the
subsequent	JJ	subsequent
development	NN	development
of	IN	of
a	DT	a
distinct	JJ	distinct
indigenous	JJ	indigenous
style	NN	style
.	SENT	.
The	DT	the
assemblage	NN	assemblage
of	IN	of
architecture	NN	architecture
and	CC	and
garden	NN	garden
design	NN	design
in	IN	in
the	DT	the
surviving	VVG	survive
monuments	NNS	monument
of	IN	of
Kyoto	NP	Kyoto
is	VBZ	be
the	DT	the
highest	JJS	high
expression	NN	expression
of	IN	of
this	DT	this
aspect	NN	aspect
of	IN	of
Japanese	JJ	Japanese
material	NN	material
culture	NN	culture
in	IN	in
the	DT	the
pre-modern	NN	pre-modern
period	NN	period
.	SENT	.
The	DT	the
Historic	JJ	historic
Villages	NNS	village
of	IN	of
Shirakawa-go	NP	Shirakawa-go
and	CC	and
Gokayama	NP	Gokayama
are	VBP	be
outstanding	JJ	outstanding
examples	NNS	example
of	IN	of
traditional	JJ	traditional
human	JJ	human
settlements	NNS	settlement
that	WDT	that
are	VBP	be
perfectly	RB	perfectly
adapted	VVN	adapt
to	TO	to
their	PP$	their
environment	NN	environment
and	CC	and
their	PP$	their
social	JJ	social
and	CC	and
economic	JJ	economic
raison	NN	raison
d�fetre	NN	d�fetre
.	SENT	.
The	DT	the
buildings	NNS	building
of	IN	of
Itsukushima-jinja	NP	Itsukushima-jinja
,	,	,
which	WDT	which
through	IN	through
scrupulously	RB	scrupulously
accurate	JJ	accurate
reconstructions	NNS	reconstruction
have	VHP	have
preserved	VVN	preserve
styles	NNS	style
from	IN	from
the	DT	the
late	JJ	late
12th	JJ	12th
and	CC	and
early	JJ	early
13th	JJ	13th
centuries	NNS	century
,	,	,
are	VBP	be
outstanding	JJ	outstanding
examples	NNS	example
of	IN	of
the	DT	the
ancient	JJ	ancient
type	NN	type
of	IN	of
shrine	NN	shrine
architecture	NN	architecture
integrated	VVN	integrate
with	IN	with
the	DT	the
surrounding	JJ	surrounding
landscape	NN	landscape
,	,	,
the	DT	the
physical	JJ	physical
manifestation	NN	manifestation
of	IN	of
humankind�fs	NNS	humankind�fs
worship	NN	worship
of	IN	of
nature	NN	nature
.	SENT	.
The	DT	the
layout	NN	layout
of	IN	of
the	DT	the
Imperial	NP	Imperial
Palace	NP	Palace
and	CC	and
the	DT	the
design	NN	design
of	IN	of
the	DT	the
surviving	VVG	survive
monuments	NNS	monument
in	IN	in
Nara	NP	Nara
are	VBP	be
outstanding	JJ	outstanding
examples	NNS	example
of	IN	of
the	DT	the
architecture	NN	architecture
and	CC	and
planning	NN	planning
of	IN	of
early	JJ	early
Asian	JJ	Asian
capital	NN	capital
cities	NNS	city
.	SENT	.
The	DT	the
Nikko	NP	Nikko
shrines	NNS	shrine
and	CC	and
temples	NNS	temple
is	VBZ	be
a	DT	a
perfect	JJ	perfect
illustration	NN	illustration
of	IN	of
the	DT	the
architectural	JJ	architectural
style	NN	style
of	IN	of
the	DT	the
Edo	NP	Edo
period	NN	period
as	RB	as
applied	VVD	apply
to	TO	to
Shinto	NP	Shinto
shrines	NNS	shrine
and	CC	and
Buddhist	NN	Buddhist
temples	NNS	temple
.	SENT	.
The	DT	the
Gongen-zukuristyle	NP	Gongen-zukuristyle
of	IN	of
the	DT	the
two	CD	two
mausoleums	NNS	mausoleum
,	,	,
the	DT	the
Toshogu	NP	Toshogu
and	CC	and
the	DT	the
Taiyu-in	NP	Taiyu-in
Reibyo	NP	Reibyo
,	,	,
reached	VVD	reach
the	DT	the
peak	NN	peak
of	IN	of
its	PP$	its
expression	NN	expression
in	IN	in
the	DT	the
Nikko	NP	Nikko
shrines	NNS	shrine
and	CC	and
temples	NNS	temple
,	,	,
and	CC	and
was	VBD	be
later	JJR	late
to	TO	to
exert	VV	exert
a	DT	a
decisive	JJ	decisive
influence	NN	influence
.	SENT	.
The	DT	the
ingenuity	NN	ingenuity
and	CC	and
creativity	NN	creativity
of	IN	of
its	PP$	its
architects	NNS	architect
and	CC	and
decorators	NNS	decorator
are	VBP	be
revealed	VVN	reveal
in	IN	in
an	DT	an
outstanding	JJ	outstanding
and	CC	and
distinguished	JJ	distinguished
manner	NN	manner
.	SENT	.
The	DT	the
Kii	NP	Kii
Mountains	NP	Mountains
have	VHP	have
become	VVN	become
the	DT	the
setting	NN	setting
for	IN	for
the	DT	the
creation	NN	creation
of	IN	of
unique	JJ	unique
forms	NNS	form
of	IN	of
shrine	NN	shrine
and	CC	and
temple	NN	temple
buildings	NNS	building
which	WDT	which
have	VHP	have
had	VHN	have
a	DT	a
profound	JJ	profound
influence	NN	influence
on	IN	on
the	DT	the
building	NN	building
of	IN	of
temples	NNS	temple
and	CC	and
shrines	NNS	shrine
elsewhere	RB	elsewhere
in	IN	in
Japan	NP	Japan
.	SENT	.
Tomioka	NP	Tomioka
and	CC	and
its	PP$	its
related	JJ	related
sites	NNS	site
form	VVP	form
an	DT	an
outstanding	JJ	outstanding
example	NN	example
of	IN	of
an	DT	an
integrated	JJ	integrated
ensemble	NN	ensemble
for	IN	for
the	DT	the
mass	JJ	mass
production	NN	production
of	IN	of
raw	JJ	raw
silk	NN	silk
.	SENT	.
The	DT	the
extent	NN	extent
of	IN	of
the	DT	the
plant	NN	plant
,	,	,
from	IN	from
its	PP$	its
initial	JJ	initial
design	NN	design
,	,	,
and	CC	and
the	DT	the
deliberate	JJ	deliberate
adoption	NN	adoption
of	IN	of
the	DT	the
best	RBS	well
Western	JJ	Western
techniques	NNS	technique
illustrate	VVP	illustrate
a	DT	a
decisive	JJ	decisive
period	NN	period
for	IN	for
the	DT	the
spread	NN	spread
of	IN	of
industrial	JJ	industrial
methods	NNS	method
to	TO	to
Japan	NP	Japan
and	CC	and
the	DT	the
Far	NP	Far
East	NP	East
.	SENT	.
Its	PP$	its
large	JJ	large
,	,	,
late	JJ	late
19th	JJ	19th
century	NN	century
buildings	NNS	building
provide	VVP	provide
an	DT	an
eminent	JJ	eminent
example	NN	example
of	IN	of
the	DT	the
emergence	NN	emergence
of	IN	of
a	DT	a
style	NN	style
of	IN	of
industrial	JJ	industrial
architecture	NN	architecture
specific	JJ	specific
to	TO	to
Japan	NP	Japan
,	,	,
combining	VVG	combine
foreign	JJ	foreign
and	CC	and
local	JJ	local
elements	NNS	element
.	SENT	.
The	DT	the
technological	JJ	technological
ensemble	NN	ensemble
of	IN	of
key	JJ	key
industrial	JJ	industrial
sites	NNS	site
of	IN	of
iron	NN	iron
and	CC	and
steel	NN	steel
,	,	,
shipbuilding	NN	shipbuilding
and	CC	and
coal	NN	coal
mining	NN	mining
is	VBZ	be
testimony	NN	testimony
to	TO	to
Japan�fs	NP	Japan�fs
unique	JJ	unique
achievement	NN	achievement
in	IN	in
world	NN	world
history	NN	history
as	IN	as
the	DT	the
first	JJ	first
non-Western	JJ	non-Western
country	NN	country
to	TO	to
successfully	RB	successfully
industrialize	VV	industrialize
.	SENT	.
Viewed	VVN	view
as	IN	as
an	DT	an
Asian	JJ	Asian
cultural	JJ	cultural
response	NN	response
to	TO	to
Western	JJ	Western
industrial	JJ	industrial
values	NNS	value
,	,	,
the	DT	the
ensemble	NN	ensemble
is	VBZ	be
an	DT	an
outstanding	JJ	outstanding
technological	JJ	technological
ensemble	NN	ensemble
of	IN	of
industrial	JJ	industrial
sites	NNS	site
that	WDT	that
reflected	VVD	reflect
the	DT	the
rapid	JJ	rapid
and	CC	and
distinctive	JJ	distinctive
industrialisation	NN	industrialisation
of	IN	of
Japan	NP	Japan
based	VVN	base
on	IN	on
local	JJ	local
innovation	NN	innovation
and	CC	and
adaptation	NN	adaptation
of	IN	of
Western	JJ	Western
technology	NN	technology
.	SENT	.
